"z","time","maxtrop","replicate"
0.1,50000,2.176548,11
0.1,1e+05,1.616318,11
0.1,150000,2.779475,11
0.1,2e+05,3.043514,11
0.1,250000,2.918566,11
0.1,3e+05,2.415646,11
0.1,350000,3.176782,11
0.1,4e+05,3.305124,11
0.1,450000,2.931495,11
0.1,5e+05,3.283539,11
0.1,550000,3.379985,11
0.1,6e+05,3.118335,11
0.1,650000,2.053283,11
0.1,7e+05,2.834085,11
0.1,750000,3.343907,11
0.1,8e+05,3.252103,11
0.1,850000,3.100269,11
0.1,9e+05,3.190406,11
0.1,950000,3.002616,11
0.1,1e+06,3.221553,11
0.1,1050000,2.425301,11
0.1,1100000,2.053268,11
0.1,1150000,3.185468,11
0.1,1200000,3.346217,11
0.1,1250000,3.074825,11
0.1,1300000,2.696277,11
0.1,1350000,2.791655,11
0.1,1400000,2.55352,11
0.1,1450000,2.703674,11
0.1,1500000,2.83527,11
0.1,1550000,2.864398,11
0.1,1600000,3.054495,11
0.1,1650000,3.079913,11
0.1,1700000,3.053905,11
0.1,1750000,3.024901,11
0.1,1800000,2.99338,11
0.1,1850000,2.975597,11
0.1,1900000,3.250883,11
0.1,1950000,3.50245,11
0.1,2e+06,3.309443,11
0.1,2050000,3.592576,11
0.1,2100000,3.422252,11
0.1,2150000,3.498041,11
0.1,2200000,3.646516,11
0.1,2250000,3.771417,11
0.1,2300000,3.706204,11
0.1,2350000,3.908706,11
0.1,2400000,3.7509,11
0.1,2450000,3.701002,11
0.1,2500000,3.928579,11
0.1,2550000,3.903294,11
0.1,2600000,3.822204,11
0.1,2650000,3.955716,11
0.1,2700000,3.987628,11
0.1,2750000,3.752893,11
0.1,2800000,3.196368,11
0.1,2850000,3.218809,11
0.1,2900000,3.462714,11
0.1,2950000,3.297005,11
0.1,3e+06,3.20676,11
0.1,3050000,3.202379,11
0.1,3100000,3.203666,11
0.1,3150000,3.212386,11
0.1,3200000,3.217205,11
0.1,3250000,3.788388,11
0.1,3300000,3.999647,11
0.1,3350000,3.966082,11
0.1,3400000,3.912724,11
0.1,3450000,3.969845,11
0.1,3500000,4.07147,11
0.1,3550000,4.015115,11
0.1,3600000,4.100567,11
0.1,3650000,4.069644,11
0.1,3700000,3.931888,11
0.1,3750000,3.852319,11
0.1,3800000,3.83134,11
0.1,3850000,3.839798,11
0.1,3900000,3.868348,11
0.1,3950000,4.082071,11
0.1,4e+06,3.943925,11
0.1,4050000,3.943121,11
0.1,4100000,3.943182,11
0.1,4150000,3.950698,11
0.1,4200000,3.9462,11
0.1,4250000,3.931167,11
0.1,4300000,3.881177,11
0.1,4350000,3.88145,11
0.1,4400000,3.891676,11
0.1,4450000,3.883061,11
0.1,4500000,3.893254,11
0.1,4550000,3.891282,11
0.1,4600000,3.891476,11
0.1,4650000,3.891428,11
0.1,4700000,3.889192,11
0.1,4750000,3.796239,11
0.1,4800000,3.78763,11
0.1,4850000,3.744274,11
0.1,4900000,3.755326,11
0.1,4950000,3.775354,11
0.1,5e+06,3.745153,11
0.1,5050000,3.729604,11
0.1,5100000,3.732236,11
0.1,5150000,3.730977,11
0.1,5200000,3.729542,11
0.1,5250000,3.70669,11
0.1,5300000,3.870422,11
0.1,5350000,3.778513,11
0.1,5400000,3.584295,11
0.1,5450000,3.633656,11
0.1,5500000,3.644572,11
0.1,5550000,3.649852,11
0.1,5600000,3.650195,11
0.1,5650000,3.649886,11
0.1,5700000,3.616914,11
0.1,5750000,3.609722,11
0.1,5800000,3.955456,11
0.1,5850000,3.839756,11
0.1,5900000,3.872226,11
0.1,5950000,3.873175,11
0.1,6e+06,3.873189,11
0.1,6050000,3.888094,11
0.1,6100000,3.896543,11
0.1,6150000,3.894349,11
0.1,6200000,3.885302,11
0.1,6250000,3.885855,11
0.1,6300000,3.815925,11
0.1,6350000,3.816119,11
0.1,6400000,3.832693,11
0.1,6450000,3.832124,11
0.1,6500000,3.832113,11
0.1,6550000,3.832112,11
0.1,6600000,3.832071,11
0.1,6650000,3.828751,11
0.1,6700000,3.816426,11
0.1,6750000,3.816076,11
0.1,6800000,3.816113,11
0.1,6850000,3.831981,11
0.1,6900000,3.824706,11
0.1,6950000,3.825628,11
0.1,7e+06,3.824864,11
0.1,7050000,3.828481,11
0.1,7100000,3.828044,11
0.1,7150000,3.827816,11
0.1,7200000,3.827763,11
0.1,7250000,3.82791,11
0.1,7300000,3.829517,11
0.1,7350000,3.83031,11
0.1,7400000,3.766191,11
0.1,7450000,3.777775,11
0.1,7500000,3.778477,11
0.1,7550000,3.787362,11
0.1,7600000,3.787353,11
0.1,7650000,3.788431,11
0.1,7700000,3.796132,11
0.1,7750000,3.774429,11
0.1,7800000,3.778369,11
0.1,7850000,3.778413,11
0.1,7900000,3.790666,11
0.1,7950000,3.797338,11
0.1,8e+06,3.806878,11
0.1,8050000,3.809898,11
0.1,8100000,3.810615,11
0.1,8150000,3.811023,11
0.1,8200000,3.81673,11
0.1,8250000,3.816362,11
0.1,8300000,3.785509,11
0.1,8350000,3.743827,11
0.1,8400000,3.743765,11
0.1,8450000,3.743772,11
0.1,8500000,3.744079,11
0.1,8550000,3.737084,11
0.1,8600000,3.73526,11
0.1,8650000,3.736705,11
0.1,8700000,3.738503,11
0.1,8750000,3.737871,11
0.1,8800000,3.718625,11
0.1,8850000,3.733328,11
0.1,8900000,3.72802,11
0.1,8950000,3.72971,11
0.1,9e+06,3.727879,11
0.1,9050000,3.727843,11
0.1,9100000,3.734148,11
0.1,9150000,3.731682,11
0.1,9200000,3.731743,11
0.1,9250000,3.733499,11
0.1,9300000,3.733645,11
0.1,9350000,3.733665,11
0.1,9400000,3.733668,11
0.1,9450000,3.733668,11
0.1,9500000,3.733668,11
0.1,9550000,3.733668,11
0.1,9600000,3.733668,11
0.1,9650000,3.733668,11
0.1,9700000,3.733668,11
0.1,9750000,3.733669,11
0.1,9800000,3.733679,11
0.1,9850000,3.733897,11
0.1,9900000,3.735106,11
0.1,9950000,3.739015,11
0.1,1e+07,3.751194,11
0.1,10050000,3.758622,11
0.1,10100000,3.786246,11
0.1,10150000,3.804634,11
0.1,10200000,3.738012,11
0.1,10250000,3.742955,11
0.1,10300000,3.69915,11
0.1,10350000,3.763727,11
0.1,10400000,3.755362,11
0.1,10450000,3.734695,11
0.1,10500000,3.718985,11
0.1,10550000,3.718915,11
0.1,10600000,3.720583,11
0.1,10650000,3.701854,11
0.1,10700000,3.688453,11
0.1,10750000,3.688043,11
0.1,10800000,3.711644,11
0.1,10850000,3.710743,11
0.1,10900000,3.710747,11
0.1,10950000,3.710777,11
0.1,1.1e+07,3.744266,11
0.1,11050000,3.767851,11
0.1,11100000,3.764187,11
0.1,11150000,3.781194,11
0.1,11200000,3.780708,11
0.1,11250000,3.781717,11
0.1,11300000,3.784741,11
0.1,11350000,3.784593,11
0.1,11400000,3.788376,11
0.1,11450000,3.792384,11
0.1,11500000,3.79238,11
0.1,11550000,3.801537,11
0.1,11600000,3.766345,11
0.1,11650000,3.784823,11
0.1,11700000,3.789498,11
0.1,11750000,3.778307,11
0.1,11800000,3.781477,11
0.1,11850000,3.78248,11
0.1,11900000,3.817948,11
0.1,11950000,3.815007,11
0.1,1.2e+07,3.746258,11
0.1,12050000,3.736211,11
0.1,12100000,3.711052,11
0.1,12150000,3.706766,11
0.1,12200000,3.705781,11
0.1,12250000,3.738966,11
0.1,12300000,3.717789,11
0.1,12350000,3.70775,11
0.1,12400000,3.705787,11
0.1,12450000,3.704486,11
0.1,12500000,3.717807,11
0.1,12550000,3.714695,11
0.1,12600000,3.714895,11
0.1,12650000,3.715062,11
0.1,12700000,3.740032,11
0.1,12750000,3.739463,11
0.1,12800000,3.738945,11
0.1,12850000,3.73909,11
0.1,12900000,3.739097,11
0.1,12950000,3.739098,11
0.1,1.3e+07,3.739098,11
0.1,13050000,3.739098,11
0.1,13100000,3.739098,11
0.1,13150000,3.739098,11
0.1,13200000,3.739084,11
0.1,13250000,3.742532,11
0.1,13300000,3.7461,11
0.1,13350000,3.78265,11
0.1,13400000,3.916969,11
0.1,13450000,3.901509,11
0.1,13500000,3.910128,11
0.1,13550000,3.910195,11
0.1,13600000,3.910194,11
0.1,13650000,3.910194,11
0.1,13700000,3.910194,11
0.1,13750000,3.910194,11
0.1,13800000,3.910194,11
0.1,13850000,3.910194,11
0.1,13900000,3.910197,11
0.1,13950000,3.910624,11
0.1,1.4e+07,3.90012,11
0.1,14050000,3.893092,11
0.1,14100000,3.900289,11
0.1,14150000,3.899829,11
0.1,14200000,3.897352,11
0.1,14250000,3.904965,11
0.1,14300000,3.847637,11
0.1,14350000,3.84838,11
0.1,14400000,3.848607,11
0.1,14450000,3.848732,11
0.1,14500000,3.848814,11
0.1,14550000,3.84887,11
0.1,14600000,3.84751,11
0.1,14650000,3.805641,11
0.1,14700000,3.820479,11
0.1,14750000,3.840566,11
0.1,14800000,3.823886,11
0.1,14850000,3.833347,11
0.1,14900000,3.836133,11
0.1,14950000,3.836124,11
0.1,1.5e+07,3.836126,11
0.1,15050000,3.836571,11
0.1,15100000,3.840126,11
0.1,15150000,3.783907,11
0.1,15200000,3.770954,11
0.1,15250000,3.770296,11
0.1,15300000,3.770156,11
0.1,15350000,3.770115,11
0.1,15400000,3.77492,11
0.1,15450000,3.801873,11
0.1,15500000,3.796867,11
0.1,15550000,3.730731,11
0.1,15600000,3.707704,11
0.1,15650000,3.689713,11
0.1,15700000,3.7304,11
0.1,15750000,3.740279,11
0.1,15800000,3.76108,11
