"z","N","combm","sd","se","ci","replicate","fit","se.fit"
0.1,500,2.65866132946,0.105990517487568,0.00474004004145166,0.00931289598389858,1,0.118414628969875,0.00238496432502669
0.2,500,2.65618193234,0.054350337733066,0.00243062099542415,0.00477551250806158,1,0.102921802257168,0.00150440392436505
0.3,500,2.64853600078,0.052066035379199,0.00232846388853596,0.00457480143766008,1,0.0903165954233702,0.0010376781031272
0.4,500,2.67451298586,0.102799802177648,0.00459734691485501,0.00903254260418222,1,0.0809662197883378,0.000914253956961087
0.5,500,2.64372079864,0.0964717806119599,0.00431434918717577,0.00847652865102808,1,0.0749675077373231,0.000914719445302768
0.6,500,2.65560072122,0.0589513783780141,0.00263638578841102,0.00517978464447337,1,0.0721823632550307,0.000902519663533186
0.7,500,2.63400733818,0.0764143675010258,0.00341735440379889,0.00671417663656488,1,0.0723380159230808,0.000861708878415525
0.8,500,2.63496461494,0.0744681765899485,0.00333031810031167,0.00654317385302062,1,0.075067028041255,0.000833220989763763
0.9,500,2.6546296463,0.0548450969982676,0.00245274730241392,0.0048189847137184,1,0.0798741776686695,0.00087148370582829
1,500,2.65020380338,0.0739131056485797,0.00330549457316696,0.00649440233965143,1,0.0860848191844542,0.000983343059296485
1.1,500,2.64420480204,0.045897434596488,0.00205259567501195,0.0040327950505102,1,0.0928570559070781,0.00111005528547459
1.2,500,2.63305109076,0.0926664380331321,0.00414416909349711,0.00814217081921657,1,0.09931566952408,0.00118831035388044
1.3,500,2.56368821312,0.157178998158301,0.00702925849034552,0.0138105907528316,1,0.104782103787817,0.001206623195476
1.4,500,2.61871244004,0.108167068768345,0.00483737837385829,0.00950413946644762,1,0.10898340863329,0.00121228266588899
1.5,500,2.59584595992,0.133034891252022,0.00594950120437626,0.0116891598779547,1,0.112113643772505,0.00125740585152179
1.6,500,2.62621251882,0.0470331862397632,0.00210338803261037,0.00413258828832136,1,0.114715317993894,0.00133491215852504
1.7,500,2.59337257062,0.109759839680424,0.00490860925449815,0.00964408887118669,1,0.117457719326861,0.00139690384891931
1.8,500,2.57775111166,0.112844756878899,0.00504657094571309,0.00991514626074704,1,0.120919806523047,0.00141783085604142
1.9,500,2.62367875836,0.0929720245222401,0.00415783533675013,0.00816902128900016,1,0.12544045398069,0.0014218514130741
2,500,2.58820041764,0.080276569698438,0.00359007733692414,0.00705353045977367,1,0.131045847305804,0.00146272593462878
2.1,500,2.60359535418,0.127456504479647,0.00570002816381995,0.0111990128629146,1,0.137447028095306,0.00156623581482357
2.2,500,2.61282474134,0.0801420563432646,0.00358406171680316,0.00704171139411695,1,0.144110357287337,0.00169315079420776
2.3,500,2.57847536304,0.121671993328286,0.00544133696079895,0.0106907546531493,1,0.150404552405445,0.00177901318393114
2.4,500,2.61333279008,0.114164694750023,0.00510560036183131,0.0100311230895273,1,0.155798656109048,0.00180005604392963
2.5,500,2.6210755448,0.197367977035059,0.00882656426464019,0.0173418102321802,1,0.160042633618121,0.00179732349424414
2.6,500,2.57439407402,0.140552717002838,0.00628570859281271,0.012349716415483,1,0.163250008779573,0.00183334321350268
2.7,500,2.58817823038,0.130406840484889,0.00583197120110368,0.0114582452262022,1,0.165844295767711,0.00191612068039217
2.8,500,2.57818985936,0.135492514546764,0.00605940945937888,0.0119050998568705,1,0.168399651234605,0.00199186257945622
2.9,500,2.6302991156,0.136982622447467,0.00612604911057451,0.0120360287381797,1,0.171448045819762,0.0020143409565413
3,500,2.52153574474,0.240581980157894,0.0107591532358911,0.0211388245846956,1,0.175318872397801,0.00199779290079451
3.1,500,2.61357581022,0.123586417406056,0.00552695260831207,0.0108589662321468,1,0.180046025385781,0.00200966300094966
3.2,500,2.4830432154,0.261678864960971,0.0117026346065544,0.022992510163487,1,0.185354519552034,0.00210096964082596
3.3,500,2.56505861706,0.159834837255304,0.00714803122550953,0.0140439470364563,1,0.190730777376015,0.00223639111851492
3.4,500,2.52544246212,0.217230756479751,0.00971485476584854,0.0190870606876394,1,0.19557097714356,0.00232589098676818
