"z","N","resourcebiomass","sd","se","ci","replicate","fit","se.fit"
0.1,500,0.872442,0.0194263068748951,0.000868770854480737,0.00170689963183179,1,0.0315645010088809,0.000801908996543963
0.2,500,0.879822,0.0156015747368186,0.000697723633351397,0.00137083812923221,1,0.0268453485967675,0.000495209235859529
0.3,500,0.876892,0.0117006900777943,0.000523270767952106,0.0010280854572402,1,0.0230875780727236,0.000334804844969253
0.4,500,0.870506,0.0203449698844505,0.000909854713236348,0.00178761829662413,1,0.0203556287782324,0.000289921363392627
0.5,500,0.879576,0.0303841177793013,0.00135881905581755,0.00266971173599889,1,0.0186348915623315,0.00028667746651521
0.6,500,0.873414,0.0130517163084858,0.000583690497776338,0.00114679387622141,1,0.0178546459691353,0.000281489597442328
0.7,500,0.877088,0.0170191527144637,0.000761119647779818,0.0014953941420512,1,0.0179232849459454,0.000269310721687351
0.8,500,0.877874,0.0151814055392871,0.000678933095596756,0.0013339198074332,1,0.01873868360884,0.000262443045690363
0.9,500,0.870384,0.0137923530263697,0.00061681277873275,0.00121187019511302,1,0.0201721400506218,0.000277677653069234
1,500,0.875948,0.0203284970320771,0.000909118024882541,0.00178617090336341,1,0.0220435691042907,0.000317552959075939
1.1,500,0.877042,0.0123969191013902,0.000554407076445482,0.001089259877664,1,0.0241149818428811,0.000363471088992404
1.2,500,0.875342,0.0220524296917737,0.000986214637196814,0.00193764488352284,1,0.0261244893789904,0.000394137755819425
1.3,500,0.878032,0.0389959529270587,0.0017439520318457,0.00342639381343995,1,0.027857331307994,0.000404608684883444
1.4,500,0.877256,0.0323425810518919,0.00144640419599654,0.00284179283512232,1,0.029217276029791,0.0004099998936883
1.5,500,0.883124,0.0378934354327738,0.00169464595057363,0.00332952070641027,1,0.0302536461702641,0.000428002154689939
1.6,500,0.877054,0.0154594007044349,0.000691365417330489,0.00135834595534168,1,0.0311288852836998,0.000456805524364483
1.7,500,0.879618,0.0306503991807591,0.00137072752211363,0.00269310864973237,1,0.0320501346044927,0.000480619096789309
1.8,500,0.87637,0.0297590372929166,0.00133086460663826,0.00261478880808745,1,0.033200581620996,0.000490919321343353
1.9,500,0.872696,0.0205265257781497,0.000917974139636888,0.00180357077231123,1,0.0346914230527737,0.000495995419844147
2,500,0.881476,0.0223671635217346,0.00100028996196904,0.00196529908779054,1,0.0365371228260873,0.000514461805996022
2.1,500,0.867232,0.0392219696318735,0.00175405980616603,0.00344625285472457,1,0.0386514943797005,0.000555516735642632
2.2,500,0.878916,0.0231686537596397,0.00103613369507421,0.00203572232370498,1,0.0408667419571975,0.000605466744998868
2.3,500,0.879952,0.0374836998107578,0.00167632201650101,0.00329351913457928,1,0.0429790157575415,0.000641030882426184
2.4,500,0.876644,0.0329714953104346,0.00147453009667895,0.00289705261884104,1,0.0448138263481287,0.000652992956946802
2.5,500,0.867658,0.0654880018994745,0.00292871247915721,0.00575412748555258,1,0.0462883006261958,0.000655725996540721
2.6,500,0.868672,0.0480800978328376,0.0021502073423813,0.00422457556229407,1,0.0474412396966164,0.000672058679111758
2.7,500,0.871904,0.0359408161918601,0.00160732216343649,0.00315795309528958,1,0.0484163522651623,0.000705486221698638
2.8,500,0.870962,0.0420941848334611,0.00188250917490119,0.00369862110473236,1,0.0494087821431057,0.000736930677880728
2.9,500,0.872972,0.028186524729961,0.00126053970691344,0.00247661941067983,1,0.0505999862482534,0.000749670942764838
3,500,0.884166,0.0876316441367399,0.00391900626539642,0.00769978679308925,1,0.0521031878945779,0.000748850550808
3.1,500,0.87088,0.0372398605586656,0.00166541719363579,0.00327209410859247,1,0.0539304821274306,0.000759369405346298
3.2,500,0.891148,0.0845891763377976,0.00378294296904064,0.00743245923570438,1,0.0559855406955244,0.00080044487423444
3.3,500,0.87737,0.0519485360794855,0.0023232091601066,0.00456447731827326,1,0.0580848757440401,0.000858870127822272
3.4,500,0.872672,0.0711035008397148,0.00317984522631631,0.00624753537493556,1,0.0600084005531441,0.000899877134044055
3.5,500,0.879,0.0468065562439156,0.00209325283108125,0.00411267535999352,1,0.061569859991353,0.000903516201175594
3.6,500,0.885188,0.0533612171430711,0.00238638617788068,0.00468860306192894,1,0.062683259544714,0.000886787992333516
3.7,500,0.882052,0.075276972183279,0.00336648853884345,0.00661423897668893,1,0.0633961398604284,0.000889624706167696
