"slope","z"
-1.8949,0.1
-1.6043,0.2
-2.135,0.3
-1.3174,0.4
-1.1441,0.5
-1.3306,0.6
-1.3554,0.7
-0.9596,0.8
-1.1264,0.9
-1.2132,1
-0.9566,1.1
-0.8183,1.2
-0.6785,1.3
-1.1277,1.4
-0.807,1.5
-0.827,1.6
-0.6914,1.7
-0.5555,1.8
-1.2678,1.9
-1.3183,2
-0.7749,2.1
-0.3662,2.2
-0.9012,2.3
-0.9326,2.4
-0.9595,2.5
-0.7249,2.6
-0.672,2.7
-0.6047,2.8
-1.2092,2.9
-0.8474,3
-0.6094,3.1
-0.5852,3.2
-0.9588,3.3
-0.7917,3.4
-0.5987,3.5
-0.7012,3.6
-0.719,3.7
-0.6508,3.8
-0.5332,3.9
-0.6377,4
-0.6524,4.1
-0.5209,4.2
-1.4648,4.3
-0.575,4.4
-0.5309,4.5
-0.4688,4.6
-0.5529,4.7
-0.3796,4.8
-0.6942,4.9
-0.8237,5
-1.9705,0.1
-1.757,0.2
-2.4636,0.3
-1.9855,0.4
-1.2304,0.5
-0.7669,0.6
-1.0243,0.7
-1.1016,0.8
-1.659,0.9
-0.7568,1
-0.988,1.1
-1.281,1.2
-0.9655,1.3
-0.6988,1.4
-0.5669,1.5
-1.0104,1.6
-0.6647,1.7
-0.5933,1.8
-1.1233,1.9
-0.8783,2
-0.5309,2.1
-0.9858,2.2
-1.0488,2.3
-0.6247,2.4
-1.0683,2.5
-0.6156,2.6
-0.6547,2.7
-0.7843,2.8
-0.5458,2.9
-0.6221,3
-0.6426,3.1
-0.4864,3.2
-0.6395,3.3
-0.7235,3.4
-0.4984,3.5
-0.7177,3.6
-0.6282,3.7
-0.845,3.8
-0.5846,3.9
-0.6396,4
-0.8011,4.1
-0.5716,4.2
-0.8316,4.3
-0.9531,4.4
-0.9702,4.5
-0.5956,4.6
-1.0269,4.7
-0.5752,4.8
-1.0918,4.9
-0.6606,5
-1.7339,0.1
-1.6582,0.2
-1.9149,0.3
-1.6399,0.4
-1.4614,0.5
-1.133,0.6
-0.9833,0.7
-1.1736,0.8
-1.7981,0.9
-1.255,1
-1.1422,1.1
-0.577,1.2
-0.6579,1.3
-1.266,1.4
-0.529,1.5
-1.4033,1.6
-0.7828,1.7
-1.0995,1.8
-0.9043,1.9
-0.7636,2
-0.9074,2.1
-0.6625,2.2
-1.0337,2.3
-0.5161,2.4
-0.8167,2.5
-1.1104,2.6
-1.0453,2.7
-0.7879,2.8
-0.5509,2.9
-1.0365,3
-0.5855,3.1
-0.7915,3.2
-0.9419,3.3
-0.5632,3.4
-0.6898,3.5
-1.4654,3.6
-0.6008,3.7
-0.6094,3.8
-0.617,3.9
-0.7797,4
-0.5331,4.1
-0.7186,4.2
-0.5989,4.3
-0.7609,4.4
-0.5189,4.5
-0.4844,4.6
-0.6504,4.7
-0.5688,4.8
-0.5675,4.9
-0.6069,5
-1.4991,0.1
-1.8245,0.2
-1.629,0.3
-1.4262,0.4
-2.0674,0.5
-1.2776,0.6
-1.508,0.7
-1.301,0.8
-0.7809,0.9
-1.4647,1
-1.3815,1.1
-1.1307,1.2
-0.9903,1.3
-1.088,1.4
-0.7903,1.5
-0.5129,1.6
-1.2594,1.7
-0.5325,1.8
-0.9317,1.9
-1.2143,2
-0.6987,2.1
-0.7301,2.2
-1.0048,2.3
-1.0448,2.4
-0.6028,2.5
-0.4383,2.6
-1.279,2.7
-0.4664,2.8
-0.7288,2.9
-0.8878,3
-1.1021,3.1
-0.9089,3.2
-0.5188,3.3
-0.5781,3.4
-1.4785,3.5
-0.5526,3.6
-0.5339,3.7
-0.8298,3.8
-0.6495,3.9
-0.8292,4
-0.878,4.1
-0.624,4.2
-0.7333,4.3
-0.488,4.4
-0.6524,4.5
-0.7145,4.6
-0.5122,4.7
-0.5357,4.8
-0.6372,4.9
-0.9753,5
-1.7442,0.1
-1.338,0.2
-1.8647,0.3
-1.3753,0.4
-1.3892,0.5
-1.0603,0.6
-1.1664,0.7
-1.1802,0.8
-0.9141,0.9
-0.8666,1
-0.6433,1.1
-0.7723,1.2
-0.8225,1.3
-0.6228,1.4
-0.6698,1.5
-1.1705,1.6
-0.6798,1.7
-0.9337,1.8
-1.2956,1.9
-0.5325,2
-0.7907,2.1
-1.006,2.2
-1.0438,2.3
-0.6177,2.4
-0.6528,2.5
-0.9163,2.6
-0.7442,2.7
-0.7018,2.8
-1.2693,2.9
-0.6897,3
-0.6187,3.1
-0.5749,3.2
-0.7164,3.3
-0.7118,3.4
-0.8679,3.5
-0.6655,3.6
-0.9099,3.7
-0.6755,3.8
-0.6575,3.9
-0.697,4
-1.0218,4.1
-0.4146,4.2
-0.4855,4.3
-0.622,4.4
-0.5392,4.5
-0.4551,4.6
-0.7711,4.7
-0.7797,4.8
-0.7144,4.9
-0.7759,5
-1.5664,0.1
-2.2875,0.2
-1.3148,0.3
-1.371,0.4
-1.2121,0.5
-0.8714,0.6
-2.0073,0.7
-1.1768,0.8
-0.892,0.9
-1.0025,1
-0.6417,1.1
-0.9531,1.2
-1.0103,1.3
-1.0644,1.4
-0.9165,1.5
-0.7819,1.6
-0.5995,1.7
-0.6753,1.8
-0.9465,1.9
-0.9292,2
-1.0777,2.1
-0.5755,2.2
-0.7229,2.3
-0.6939,2.4
-0.6417,2.5
-0.8352,2.6
-0.6406,2.7
-0.5919,2.8
-0.636,2.9
-0.7829,3
-0.8355,3.1
-0.5226,3.2
-0.5321,3.3
-0.5758,3.4
-0.8126,3.5
-0.383,3.6
-0.439,3.7
-0.5626,3.8
-0.8648,3.9
-0.6223,4
-0.8546,4.1
-0.6961,4.2
-1.1053,4.3
-0.8335,4.4
-0.6465,4.5
-0.7404,4.6
-0.4164,4.7
-0.5057,4.8
-0.4669,4.9
-0.834,5
-1.4533,0.1
-0.955,0.2
-1.9332,0.3
-1.7414,0.4
-1.2386,0.5
-1.2336,0.6
-1.2634,0.7
-0.855,0.8
-0.6238,0.9
-0.9968,1
-0.7533,1.1
-1.5332,1.2
-0.5704,1.3
-0.9212,1.4
-0.7837,1.5
-0.7838,1.6
-0.5444,1.7
-0.7839,1.8
-0.9736,1.9
-0.6906,2
-0.6697,2.1
-1.2689,2.2
-1.0754,2.3
-0.5971,2.4
-0.9212,2.5
-1.3059,2.6
-0.7847,2.7
-0.4542,2.8
-0.6545,2.9
-0.5209,3
-1.083,3.1
-0.8764,3.2
-0.6623,3.3
-0.7166,3.4
-0.5602,3.5
-0.5847,3.6
-0.6777,3.7
-0.6038,3.8
-0.5259,3.9
-0.4428,4
-0.5606,4.1
-0.7021,4.2
