"z","N","turnover","sd","se","ci","replicate","fit","se.fit"
0.1,2500,0.0888117034819874,0.140954025218524,0.00281908050437047,0.00552797365254067,1,0.0720305609044311,0.00226758194155117
0.2,2500,0.0376208795677483,0.111425138072657,0.00222850276145313,0.00436990165084981,1,0.0628149893673991,0.00143915361231836
0.3,2500,0.0386503328405341,0.086934924083314,0.00173869848166628,0.00340943771611446,1,0.0553239495343682,0.000997053558688479
0.4,2500,0.0639749920073196,0.148902585252743,0.00297805170505486,0.00583970246182215,1,0.0498158064330037,0.000879053801731955
0.5,2500,0.0692221979912073,0.14781820912718,0.0029563641825436,0.00579717510127135,1,0.0463828489318215,0.00088229829424884
0.6,2500,0.038001809396314,0.0838109616428509,0.00167621923285702,0.00328692129960465,1,0.0449733043698424,0.000877017183165332
0.7,2500,0.0392201226740236,0.0967355682748054,0.00193471136549611,0.00379380207026822,1,0.0454536521072642,0.000846212889367039
0.8,2500,0.0467339939592571,0.101896949805238,0.00203793899610476,0.00399622254791479,1,0.0476303969896491,0.000827805855194662
0.9,2500,0.0466556790646574,0.0929888924117171,0.00185977784823434,0.00364686390781665,1,0.0512209879374938,0.000874512523755042
1,2500,0.0430245025682951,0.0972312873275524,0.00194462574655105,0.00381324331615246,1,0.0558084318944093,0.000995227766929132
1.1,2500,0.035132799355787,0.0787689336580065,0.00157537867316013,0.00308918166207119,1,0.0608368522336577,0.00113384103804148
1.2,2500,0.0614600233375156,0.12752871827395,0.00255057436547901,0.00500145627957587,1,0.0656945049721939,0.00122599429640346
1.3,2500,0.143042082355209,0.203525598965772,0.00407051197931545,0.00798192280749776,1,0.0698751242581997,0.00125703910875344
1.4,2500,0.0508073803320862,0.127308250707041,0.00254616501414083,0.00499280992201904,1,0.0731385613256988,0.00127244616381925
1.5,2500,0.0638376196060561,0.154895669157681,0.00309791338315361,0.00607474087149225,1,0.0755744920429599,0.00132485452029905
1.6,2500,0.0362780396521263,0.0868130165093971,0.00173626033018794,0.00340465671141727,1,0.0775347147309141,0.00140817384837798
1.7,2500,0.0985034107069401,0.165607213258558,0.00331214426517117,0.00649482914833202,1,0.0794823945464521,0.00147434131045557
1.8,2500,0.111725459148694,0.173520914206678,0.00347041828413357,0.00680519084440614,1,0.0818370586929422,0.00149763660253812
1.9,2500,0.0415638304179481,0.116034319371934,0.00232068638743868,0.00455066578825338,1,0.0848657214289132,0.00150331727733144
2,2500,0.0513413706881354,0.103825343598359,0.00207650687196719,0.00407185082503261,1,0.0886302653145231,0.00154686033172631
